epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.826,2.45605,1.75864,1.29484,0.62605,0.47281,0.52747,0.23882,1.992,1.14503,1.10171,0.00332893,0.00332893,0.00332893
2,235.97,2.00401,1.14193,1.07941,0.6661,0.51735,0.58899,0.27942,1.86116,1.08818,1.03652,0.00664577,0.00664577,0.00664577
3,346.926,1.9141,1.08737,1.04184,0.68308,0.55237,0.62544,0.30585,1.81737,1.06422,1.01932,0.00994612,0.00994612,0.00994612
4,471.476,1.82844,1.04637,1.02183,0.68847,0.56923,0.64687,0.32147,1.75913,1.01642,0.99533,0.00992575,0.00992575,0.00992575
5,580.307,1.75986,1.01091,1.00717,0.7151,0.58233,0.66392,0.32359,1.77068,0.98788,1.00407,0.009901,0.009901,0.009901
6,688.922,1.71786,0.98841,0.99913,0.72317,0.59125,0.67834,0.34701,1.67949,0.95524,0.99402,0.00987625,0.00987625,0.00987625
7,810.893,1.69411,0.97494,0.99369,0.75725,0.60091,0.70064,0.38067,1.58441,0.91262,0.97262,0.0098515,0.0098515,0.0098515
8,922.78,1.67197,0.96384,0.99077,0.74359,0.59722,0.69333,0.36342,1.64736,0.92865,0.98405,0.00982675,0.00982675,0.00982675
9,1035.55,1.65992,0.95445,0.98691,0.74601,0.61109,0.705,0.38474,1.56346,0.89401,0.96883,0.009802,0.009802,0.009802
10,1153.14,1.64963,0.94999,0.9854,0.75815,0.62175,0.71728,0.40045,1.52411,0.87044,0.95861,0.00977725,0.00977725,0.00977725
11,1269.49,1.63915,0.94418,0.98293,0.75683,0.62282,0.71798,0.40205,1.51198,0.87004,0.95741,0.0097525,0.0097525,0.0097525
12,1382.68,1.63123,0.93927,0.98149,0.76662,0.6256,0.72371,0.4062,1.505,0.85718,0.95659,0.00972775,0.00972775,0.00972775
13,1486.65,1.6226,0.93506,0.97956,0.7619,0.6236,0.72015,0.40134,1.5155,0.86327,0.95934,0.009703,0.009703,0.009703
14,1598.12,1.61862,0.93285,0.97883,0.75956,0.62514,0.72167,0.40314,1.51074,0.86114,0.95642,0.00967825,0.00967825,0.00967825
15,1719.19,1.61212,0.92953,0.97827,0.76437,0.62811,0.72427,0.40555,1.50784,0.8555,0.95737,0.0096535,0.0096535,0.0096535
16,1831.4,1.60775,0.92562,0.97715,0.76966,0.6314,0.72964,0.41242,1.48799,0.84582,0.95336,0.00962875,0.00962875,0.00962875
